year,Violent Crime,Property Crime
1975,28996,212898
1976,26156,207981
1977,28639,206673
1978,30263,209832
1979,33043,227447
1980,35647,241306
1981,37779,240999
1982,36174,219287
1983,34670,195204
1984,34434,191799
1985,36747,199066
1986,37106,212186
1987,35272,215898
1988,37413,226760
1989,40082,220225
1990,43835,234226
1991,46266,254727
1992,48930,255872
1993,49294,253065
1994,47246,258072
1995,49472,266576
1996,47149,260978
1997,43047,243798
1998,40758,232827
1999,42180,218749
2000,41783,213460
2001,42848,222654
2002,42147,218998
2003,38601,208831
2004,38753,201760
2005,39165,198038
2006,37877,195049
2007,35780,192319
2008,35200,197623
2009,33488,181709
2010,31481,172881
2011,28665,166267
2012,27894,161250
2013,27206,157244
2014,26202,150216
2015,28038,143550
2016,28607,139255
2017,30254,136107
2018,28128,123222
2019,27269,117784
2020,24726,98232
